Dades necessàries per estructurar una Matriu,
1 - Nº Matriu:,AL-244018
2 - SOP projecte,2024-12-01 00:00:00
3 - EOP projecte,2030-12-01 00:00:00
4 - Tool Lifetime,10000000
5 - Quantitat Anual:,600000
6 - Quantitat Total Projecte:,3600000
7 - Referència/es peça:,666429400A
8 - Cavitats:,2 ( 1 + 1 )
9 - Matricer:,GST
10 - Data entrega matriu:,TBD
11 - Projecte:,TESLA OPAL
12 - Jerarquía:,Brackets
13 - Nº Expedient:,440/23
14 - Responsable Projecte:,Enric Torner / Iwona Krol
Dades necessàries per estructurar una Matèria prima,
1 - Descripció material:,AHSS800
2 - Mides (BANDA x PAS x GRUIX):,"162  x  45  x  2,7"
3 - Proveïdor:,BECKET + POOL
4 - Preu actualitzat:,1.362
5 - Volum Anual:,600000
6 - Temps estimat Canvi de Rull:,20 '
7 - Pes estimat del Rull:,2000 Kgr
Dades necessàries per estructurar un Component / Material Aux.,
COMPONENT 1 COMPRA,
1 - Descripció material:,
2 - Mides:,
3 - Proveïdor:,
4 - Preu actualitzat:,
5 - Plànol si cal:,
6 - Volum Anual:,
7 - SOP:,2024-12-01 00:00:00
COMPONENT 2 COMPRA,
1 - Descripció material:,
2 - Mides:,
3 - Proveïdor:,
4 - Preu actualitzat:,
5 - Plànol si cal:,
6 - Volum Anual:,
7 - SOP:,2024-12-01 00:00:00
COMPONENT 3 COMPRA,
1 - Descripció material:,
2 - Mides:,
3 - Proveïdor:,
4 - Preu actualitzat:,
5 - Plànol si cal:,
6 - Volum Anual:,
7 - SOP:,2024-12-01 00:00:00
Dades necessàries per estructurar una peça / conjunt,
1 - Client:,ALV
2 - Tipus:  SQB / KSW / MIXTE:,FULL SOME KSW
3 - Tipus Facturació: A / B / C:,B
4 - Categoria Peça (Bàscula):,B
5 - Quantiat Anual:,600000
6 - Descripció actualitzada:,STRAP BRACKET BUCKLE LH
7 - Referència client:,666429400A
8 - Responsables tècnics i de qualitat:,Enric Torner / Iwona Krol / Frederic Gonzalez
9 - Projecte:,TESLA OPAL
10 - Tractaments:,
* Descripció complerta del tractament 1:,KTL 15-30 micres
* proveïdor KSW:,DEFACTO
* preu KSW:                   (Ull preu en Euros),0.055
* Descripció complerta del tractament 2:,0
* proveïdor KSW:,0
* preu KSW:                   (Ull preu en Euros),0
* Descripció complerta del tractament 3:,0
* proveïdor KSW:,0
* preu KSW:                   (Ull preu en Euros),0
11 - Embalatge:,
Es necessàri un nou embalatge?,NO
11.1 - EUROPA,
Caixa:,3413 - Caixa Cartró 385x285x150 + LID (4118)
Tapa / Altres:,0
Pallet:,855 - Palet Fusta EUR 1200x800
Peces / Caixa:,235
Caixes / Pallet:,40
11.2 - OVERSEAS,
Peces / Caixa:,0
Tapa / Altres:,0
12 - Pes Brut:,0.077255775
13 - Pes Net:,0.04138
14 - Ruta:,
* Centre Treball,CT- Premsa 400 Tn
* Descripció CT,Stamping
* cpm o (peces/hora) per CT,"45     / OEE:  44,54%"
* Centre Treball,CT- 0620
* Descripció CT,Deburring
* cpm o (peces/hora) per CT,10870
* Centre Treball,
* Descripció CT,
* cpm o (peces/hora) per CT,
* Centre Treball,
* Descripció CT,
* cpm o (peces/hora) per CT,
* Centre Treball,
* Descripció CT,
* cpm o (peces/hora) per CT,
* Matriu,AL-244018
* Cavitats,2 ( 1+1 )
* Co-producte ( si / no ),Producte Únic
* Si hi ha subcontractació ( oferta ),
15 - Plànol actualitzat,6664294 001
16 - Cost Peça (Intern SOME),0.2109423027077346
17 - Preu Peça (Oferta a Client),0.2965
18 - Planta Producció Client,RRS
PD. La resta d'informació que s'entra ja l'aconseguèix la persona que estructura.,
