ENTRADA DADES FORMULARIS,
UBICACIÓ CARPETA PROJECTES EN CURS,\\server\SOME\Projectes en curs\AUTOLIV\665220400_665220500 - RETRACTOR BRACKET RH+LH
TIPUS PROJECTE,NEW
FLOW CHART,FULL SOME KSW
DATA KOP,2023-09-27 00:00:00
DATA ENVIAMENT PSA,2023-09-14 00:00:00
RESPONSABLE COMERCIAL,Dietmar Enrich
RESPONSABLE DE PROJECTE,Marc Esteras
JERARQUIA,Adapterframes
Nº MATRIU SOME,AL-233972
Nº ASSET de CLIENT  (EN LA COMANDA),A039097
Nº COMANDA CLIENT ,4201146603
PRESSUPOST MATRICER,009003
DATA ENTREGA PLANNING MATRIU,2023-09-14 00:00:00
DATA ENTREGA LAYOUT MATRIU,2023-09-14 00:00:00
DATA FOTs MATRICER,CW04 2024
DATA PROBA A SOME MATRICER (PPAP),CW09 2024
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),3000000
PREU FACTURACIÓ TOTAL A CLIENT,177700
CONDICIONS DE PAGAMENT DE CLIENT,30% - PO / 30 % - PPAP Submission / 40% - PPAP Approval
PLANTA/ES DESTÍ,ALH
CONDICIONS ENVIAMENT A CLIENT,FCA
LOT PRODUCCIÓ INFORMAT A CLIENT,9100
TIPUS DE PREMSA,500 Tn
PRESSUPOST Proveïdor Màquina,
DATA ENTREGA PLANNING Màquina,
DATA ENTREGA LAYOUT Màquina,
DATA FOTs,
DATA PROBA A SOME (PPAP),
CONDICIONS PAGAMENT A Proveïdor,
INCOTERMS,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT ESTAMPACIÓ INTERN,
COMPONENT 1,
DESCRIPCIÓ,
PLÀNOL,
COMPONENT 2,
DESCRIPCIÓ,
PLÀNOL,
COMPONENT COMPRA ,
COMPONENT 1,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 2,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 3,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
DATA PRIMERES MOSTRES  F.O.T A CLIENT,2024-03-01 00:00:00
QUANTITAT PECES F.O.T. A CLIENT,tbd
DATA ENTREGA PECES PPAP A CLIENT,2024-04-05 00:00:00
QUANTITAT PECES PPAP A CLIENT,300+300
S.O.P. CLIENT,2025-01-01 00:00:00
E.O.P. CLIENT,2032-01-01 00:00:00
M.O.Q - INFORMAT A CLIENT,
TEMPS ESTIMAT CANVI DE RULL,
PES ESTIMAT DE RULL,
RESPONSABLE PROJECTE - SOMEKSW,Iwona Krol
RESPONSABLE QUALITAT - SOME SA,
RESPONSABLE QUALITAT - SOMEKSW,Joanna Koeppe
RESPONSABLE DE PROCESSOS - SOME SA,
RESPONSABLE DE PROCESSOS - SOMEKSW,
RESPONSABLE DE MATRICERIA - SOME SA,
RESPONSABLE DE MATRICERIA - SOMEKSW,Arkadiusz Wisniewski 
RESPONSABLE PRODUCCIÓ SOME - SOME SA,
RESPONSABLE PRODUCCIÓ - SOMEKSW,Ewelina Cygan
RESPONSABLE COMPRES CLIENT,Loic Lhermitte
RESPONSABLE DISSENY CLIENT,
RESPONSABLE QUALITAT CLIENT (SQA),
RESPONSABLE QUALITAT CLIENT (SDE),
DRAWINGS RELEASED,NO
FACTIBLITAT SIGNADA AMB CLIENT,NO
NORMES I ESTÀNDARDS UPDATED,YES
ESPECIFICACIONS GENERALS DISPONIBLES,YES
ESPECIFICACIONS PRODUCTE DISPONIBLES,YES
CONTRACT REVIEW (Si aplica),NO
Es necessàri un nou embalatge?,NO
